Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Currency conversion fee,Currency (Currency conversion fee)
Market buy,2025-01-24 14:30:04.343,IE00BY7QL619,JCI,"Johnson Controls International",,EOF27051368293,0.0393070000,82.65,USD,1.23997082,,"GBP",2.62,"GBP",,
Market buy,2025-01-24 14:30:04.343,US48203R1041,JNPR,"Juniper Networks",,EOF27051368278,0.1777330000,39.00,USD,1.24221989,,"GBP",5.59,"GBP",0.01,"GBP"
Market buy,2025-01-24 14:30:04.343,US21037T1097,CEG,"Constellation Energy",,EOF27051368281,0.0088390000,347.91,USD,1.23999052,,"GBP",2.48,"GBP",,
Market buy,2025-01-24 14:30:04.343,US5949181045,MSFT,"Microsoft",,EOF27051368287,0.0182651000,445.35,USD,1.24188737,,"GBP",6.56,"GBP",0.01,"GBP"
Market buy,2025-01-24 14:30:04.343,US14448C1045,CARR,"Carrier Global",,EOF27051368284,0.0469420000,70.00,USD,1.23997735,,"GBP",2.65,"GBP",,
Market buy,2025-01-24 14:30:05.015,US0079031078,AMD,"Advanced Micro Devices",,EOF27051372392,0.1751651000,124.45,USD,1.24212516,,"GBP",17.58,"GBP",0.03,"GBP"
Market buy,2025-01-24 14:30:05.015,US0420682058,ARM,"ARM",,EOF27051372398,0.0804040000,166.56,USD,1.24230892,,"GBP",10.80,"GBP",0.02,"GBP"
Market buy,2025-01-24 14:30:05.015,US1491231015,CAT,"Caterpillar",,EOF27051372401,0.0124305000,406.00,USD,1.24305000,,"GBP",4.07,"GBP",0.01,"GBP"
Market buy,2025-01-24 14:30:05.015,US00766T1007,ACM,"AECOM",,EOF27051372395,0.0479683000,108.83,USD,1.24295002,,"GBP",4.21,"GBP",0.01,"GBP"
Market buy,2025-01-24 14:30:05.015,US9291601097,VMC,"Vulcan Materials",,EOF27051372407,0.0184418000,279.04,USD,1.24299513,,"GBP",4.15,"GBP",0.01,"GBP"
Market buy,2025-01-24 14:30:05.015,US5951121038,MU,"Micron Technology",,EOF27051372404,0.2140814000,105.65,USD,1.24204832,,"GBP",18.24,"GBP",0.03,"GBP"
Market buy,2025-01-24 14:30:05.015,US46284V1017,IRM,"Iron Mountain",,EOF27051372416,0.0792058000,111.31,USD,1.24174614,,"GBP",7.11,"GBP",0.01,"GBP"
Market buy,2025-01-24 14:30:05.015,IE00B8KQN827,ETN,"Eaton",,EOF27051372410,0.0118423000,378.00,USD,1.24344150,,"GBP",3.61,"GBP",0.01,"GBP"
Market buy,2025-01-24 14:30:05.015,US24703L2025,DELL,"Dell Technologies",,EOF27051372413,0.1120936000,115.49,USD,1.24238866,,"GBP",10.44,"GBP",0.02,"GBP"
Market buy,2025-01-24 14:30:05.015,US0404132054,ANET,"Arista Networks",,EOF27051372422,0.1155483000,133.50,USD,1.24200467,,"GBP",12.44,"GBP",0.02,"GBP"
